episode,return,best_return,epsilon,steps
1,-182.73851396612073,-182.73851396612073,0.9975647931856284,77
2,-239.97088812492441,-182.73851396612073,0.9946004034695115,94
3,-188.72379240320157,-182.73851396612073,0.9916452876378322,94
4,-183.27811286039216,-182.73851396612073,0.9896699074089852,63
