episode,mean_return,epsilon
1,-1724.7085062832732,0.9882106380288652
2,-1893.0641052982962,0.9765559983045079
3,-1908.9346578099546,0.9650461348399786
4,-1987.7591547278796,0.9536792491956936
5,-1970.510626263269,0.9424535652726453
6,-1040.2351394156874,0.9313673290348817
7,-1609.0090218929888,0.9204188082354355
8,-1769.2773501179681,0.9096062921456569
9,-1960.9370576917745,0.8989280912879087
10,-4712.552785111738,0.8894101850854548
11,-1918.4162515909918,0.8789828642988554
12,-3097.899913844841,0.8704984197713954
13,-1630.2512521101683,0.8603060247065402
14,-1231.7395569607077,0.8502402416066257
15,-1876.6541743197577,0.8402994976725637
16,-1175.9976025055514,0.8304822396428898
17,-2081.2002547346324,0.8207869335510636
18,-3923.5099160481964,0.8117736654482413
19,-2614.726152636478,0.802310760997536
20,-1900.1068486534416,0.7929654066338246
21,-1762.6287459908974,0.7837361421264748
22,-2000.7256225810124,0.7746215253841299
23,-1491.7730897859785,0.76994475838013
24,-1935.5354393971395,0.7610014609581478
25,-820.6460464599177,0.7521692589609839
26,-1837.4567445744108,0.743446772339107
27,-2153.9798552444045,0.7348326381862367
28,-1849.876086727252,0.7263255105263857
29,-1946.7854068785953,0.7179240601035495
30,-1886.1180426130238,0.7096269741740064
31,-958.4293850439991,0.7014329563011996
32,-2066.6549651620417,0.6933407261531654
33,-1524.8073963475606,0.6853490193024797
34,-1924.6992887786485,0.6774565870286876
35,-1927.1427782221817,0.6696621961231889
36,-1815.988141773707,0.661964628696547
37,-967.2780443470386,0.6543626819881908
38,-1569.7828268662488,0.6468551681784807
39,-2031.3990331901193,0.6394409142031097
40,-1849.3976313369137,0.6321187615698096
41,-1661.4091926962947,0.6248875661773348
42,-1912.0134378611813,0.6177461981366931
43,-1132.2471875194785,0.6106935415945987
44,-4572.918248368911,0.6037284945591184
45,-2165.774355880177,0.5968499687274823
46,-2228.0676882859198,0.5926893108284107
47,-1917.8554802963563,0.5859479159394623
48,-2098.688887009579,0.5792902640027737
49,-2192.225671563749,0.5727153147466851
50,-1912.3148801977775,0.5662220408219983
51,-1833.0606561338354,0.5598094276414518
52,-1937.7029944760898,0.5534764732211895
53,-1825.807037701293,0.5472221880241989
54,-1867.0511341884132,0.5410455948056935
55,-2202.7873578528147,0.5349457284604164
56,-1704.167142855027,0.5289216358718412
57,-1762.4895925736048,0.5229723757632445
58,-1831.0964265280209,0.5170970185506306
59,-2210.7585940353997,0.5112946461974816
60,-1302.316067476767,0.5079280082787042
61,-1633.9520020918862,0.5022395352004265
62,-1821.0126723813307,0.49662172546961253
63,-1890.2491903946677,0.49107370129206207
64,-765.715424558769,0.4855945957777099
65,-1824.4919556051834,0.48018355280517216
66,-1858.2516142003349,0.47483972688797543
67,-1921.2370446426119,0.46956228304244807
68,-2146.7816136580227,0.46435039665725214
69,-1681.0159660725003,0.45920325336453643
70,-1829.7811705506767,0.45412004891268937
71,-2494.3004345247605,0.44909998904067355
72,-1090.6296267551563,0.4441422893539205
73,-1577.943116721379,0.43924617520176784
74,-1036.8184569100902,0.4366566092735517
75,-1550.003498889096,0.4318534837327963
76,-1762.6860149924569,0.42711002357576106
77,-1861.2084333582272,0.42242548762714593
78,-1888.2854694075256,0.417799143918678
79,-1922.9450329621752,0.4132302695747406
80,-1906.5859857438656,0.4087181506994219
81,-3415.89955492548,0.4042620822649678
82,-2913.495081472969,0.39986136800161937
83,-1482.7185647250656,0.39551532028881964
84,-1935.8690949011173,0.3912232600477715
85,-1330.8879571673658,0.38698451663532996
86,-3662.1081480395223,0.3827984277392129
87,-1497.856884025405,0.37866433927451376
88,-1463.3205387596406,0.37458160528149914
89,-1879.9582124757974,0.3705495878246762
90,-1206.7247349696006,0.366567656893114
91,-1881.9151801130872,0.3626351903020032
92,-2055.681806121703,0.35875157359543836
93,-910.1123358143171,0.3549161999504078
94,-1899.4151702474985,0.3511284700819763
95,-1695.0407199041767,0.3473877921496457
96,-1831.535692461799,0.3436935816648787
97,-762.0220526944818,0.3426089232681667
98,-1951.612949484513,0.3398785333133847
99,-1659.091281515235,0.33627760434002485
100,-1557.308372166709,0.33272140682477935
101,-1585.9931844837647,0.32920938510455144
102,-1452.4397669229666,0.3268530844931779
103,-3367.7792157082135,0.32341396024371927
104,-1396.7571077366467,0.3200175574818138
105,-1330.2621489884168,0.31666334551261993
106,-1877.9176946211935,0.3133508002336931
107,-2789.829267956484,0.3100794040530942
