episode,return,goal_x,epsilon
1,-2595.563174888425,0.4931208874007341,0.9976990410403282
2,803.8687748495039,0.6454762558404884,0.9951437048856946
3,-3326.880636263839,-0.7304807738022309,0.993066674306319
4,120.75489422014022,0.4700514635826353,0.9912294861320506
5,-3160.296666449386,-0.6693954611840174,0.9883865690165105
6,-466.96377186689654,-0.23256355638135373,0.9863477961980619
7,-1094.8546798396196,0.2589572161451962,0.9840565520175971
8,58.21918682984065,-0.10185444211080397,0.9824000721985175
9,-643.3480876775312,0.0982526166285026,0.9793282232986495
10,-2272.323414990495,0.5897361095866477,0.9777497074376829
11,-1939.000585153713,0.4645579321536729,0.9748318938283556
12,-5081.106070692235,0.847256443910826,0.9727533612932246
13,-1990.0666201321753,0.5010902947327714,0.9710938992068294
14,-254.3689571376403,-0.0599021932913385,0.9695293698049602
15,-3265.6671388247905,-0.622278914278414,0.9671646275899574
16,344.57216672224945,0.44057188063407093,0.9655381043424144
17,583.6214260590081,-0.31351435535132655,0.9635718119398431
18,-119.11853001501427,-0.054799539703545785,0.961222390702119
19,-2623.960274396616,-0.666141290396151,0.9592426357662911
20,-335.65843146096626,-0.49156317170840863,0.9575620918725303
21,165.433735542739,-0.11312654602980465,0.955748781603491
22,-37.90444413189209,0.36047718360404846,0.9540520937798955
23,1208.409406821671,0.5980676425113619,0.951659527282138
24,292.69085594398587,-0.202538917745686,0.9497905235250279
25,1066.6429253342576,0.3284919071549558,0.9470503433272883
26,-2785.4940458581286,-0.540165235544805,0.9450566251473728
27,1285.5967191382874,0.5164638795038491,0.9426209160047748
28,-1209.7673108778836,0.3692976815274033,0.9412161446099332
29,27.99622304729357,-0.0739516040309881,0.9391464739981232
30,-2612.1863041909855,-0.6483654033702166,0.9374143277652777
31,-1210.9685930594123,0.3031253312228489,0.9350436666114289
32,67.90802271691945,0.11742499166613996,0.932833820902997
33,-819.3481157752313,0.24249297600106356,0.9314224162144027
34,-308.5656400545824,0.10657288934174447,0.9298372829131739
35,796.5313373442037,-0.8445278977777091,0.9276184961709261
36,-2289.8928197580312,-0.5137475889248475,0.9254709626580746
37,-1915.150752163154,0.6361255318826989,0.9242461608716548
