episode,return,best_return,steps
1,-522.5831313257795,-522.5831313257795,65
2,-436.6363902917683,-436.6363902917683,63
3,-218.6052406636138,-218.6052406636138,82
4,-1032.8834899753992,-218.6052406636138,57
5,-649.276814779889,-218.6052406636138,99
6,-90.20559306688415,-90.20559306688415,75
7,-1948.1024364739171,-90.20559306688415,84
8,-590.2841902190355,-90.20559306688415,67
9,-188.00292941905036,-90.20559306688415,70
10,-680.3668550563427,-90.20559306688415,62
11,-608.6393766483718,-90.20559306688415,96
12,-987.0346701429069,-90.20559306688415,60
13,-939.700562052959,-90.20559306688415,46
14,-726.824648677836,-90.20559306688415,55
15,-22.02309450353505,-22.02309450353505,53
16,-415.8893386511377,-22.02309450353505,49
17,-779.2873591308016,-22.02309450353505,58
18,-2609.4475034299408,-22.02309450353505,117
19,-291.7388146749163,-22.02309450353505,93
20,-972.1312820523988,-22.02309450353505,75
21,-245.72460702265562,-22.02309450353505,69
22,-455.4156204406909,-22.02309450353505,68
23,-765.1889936731382,-22.02309450353505,48
24,-1558.2497939370364,-22.02309450353505,56
25,-1877.2265608213017,-22.02309450353505,55
26,-481.1094645741341,-22.02309450353505,52
27,9.191154269273738,9.191154269273738,52
28,-812.3358236067158,9.191154269273738,63
29,-770.3652077491333,9.191154269273738,95
30,-1360.156976540075,9.191154269273738,75
31,-242.71676518646677,9.191154269273738,89
32,1589.1581683652576,1589.1581683652576,174
33,-108.3269919093741,1589.1581683652576,48
34,165.29367824468045,1589.1581683652576,71
35,-876.8829284515218,1589.1581683652576,68
36,-532.1509579717219,1589.1581683652576,104
37,212.2700836596614,1589.1581683652576,56
38,-195.85516987266192,1589.1581683652576,63
39,-404.96137730338296,1589.1581683652576,95
40,42.43147780949835,1589.1581683652576,54
41,-256.8274209027222,1589.1581683652576,69
42,65.8989790138587,1589.1581683652576,76
43,-451.6230511696656,1589.1581683652576,61
44,16.234309790323096,1589.1581683652576,78
45,-659.4363026614869,1589.1581683652576,55
46,-158.73910197676992,1589.1581683652576,68
47,-282.81242648494117,1589.1581683652576,56
48,-516.8727166259871,1589.1581683652576,107
49,-650.7137162804429,1589.1581683652576,57
50,-1621.6466623764672,1589.1581683652576,83
51,-1017.3116701902693,1589.1581683652576,67
52,-296.89605661259634,1589.1581683652576,62
53,575.9072308056914,1589.1581683652576,107
54,-996.1553837123624,1589.1581683652576,69
55,-359.1482752604197,1589.1581683652576,120
56,-411.73809672173775,1589.1581683652576,90
57,-192.39567140807458,1589.1581683652576,87
58,56.69724666772413,1589.1581683652576,89
59,12.917889952577752,1589.1581683652576,55
60,-431.5829857546362,1589.1581683652576,69
61,-814.3720120331734,1589.1581683652576,98
62,-5.000736463231988,1589.1581683652576,74
63,-185.1944687599871,1589.1581683652576,69
64,-1034.4996075230247,1589.1581683652576,48
65,-490.2407358627893,1589.1581683652576,53
66,-322.5172995294904,1589.1581683652576,66
67,218.00989463546568,1589.1581683652576,70
68,-1185.3339502535257,1589.1581683652576,53
69,28.18795824494623,1589.1581683652576,57
70,-234.31070327571342,1589.1581683652576,50
71,375.1322487426726,1589.1581683652576,86
72,126.61363648805514,1589.1581683652576,69
73,-282.88429411238803,1589.1581683652576,70
74,-628.1038958540823,1589.1581683652576,47
75,-30.753952545790526,1589.1581683652576,44
76,-1377.7167728925647,1589.1581683652576,86
77,-949.1961173889852,1589.1581683652576,81
78,-311.18002436822576,1589.1581683652576,72
79,-1042.720859172423,1589.1581683652576,52
80,-678.7671675119284,1589.1581683652576,59
81,235.85010376954222,1589.1581683652576,80
82,127.98537266538187,1589.1581683652576,48
83,-1041.976789267381,1589.1581683652576,72
84,-506.5408293129817,1589.1581683652576,56
85,-1061.7856925005333,1589.1581683652576,51
86,-503.2336326566965,1589.1581683652576,72
87,46.464588004678944,1589.1581683652576,51
88,-204.00675059051218,1589.1581683652576,63
89,741.8811844367128,1589.1581683652576,84
90,-1199.5322195290044,1589.1581683652576,65
91,-946.1143936471997,1589.1581683652576,82
92,-708.3561821453347,1589.1581683652576,51
93,-144.0097178194003,1589.1581683652576,56
94,-437.289041169111,1589.1581683652576,59
95,-1470.0502522434276,1589.1581683652576,64
96,-547.159043701666,1589.1581683652576,108
97,-1128.4471751674348,1589.1581683652576,63
98,-975.0240515784474,1589.1581683652576,53
99,-188.75605879344857,1589.1581683652576,55
100,-676.8492976316882,1589.1581683652576,65
101,-754.2190985226721,1589.1581683652576,82
102,339.8274263192684,1589.1581683652576,66
103,-1022.0221695235437,1589.1581683652576,83
104,-176.99044461353424,1589.1581683652576,65
105,-729.4192861962683,1589.1581683652576,47
106,-51.89142685448951,1589.1581683652576,50
107,-919.7372376364697,1589.1581683652576,50
108,-636.0437444910858,1589.1581683652576,57
109,-1162.621805758622,1589.1581683652576,76
110,-855.5993519613098,1589.1581683652576,83
111,-925.2022729083217,1589.1581683652576,58
112,44.164249786925666,1589.1581683652576,66
