episode,return,best_return,steps
1,-212.09871174410696,-212.09871174410696,77
2,-235.06336617057565,-212.09871174410696,100
3,-209.6483978143771,-209.6483978143771,82
4,-192.49619887954515,-192.49619887954515,54
